Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2005,2005 Annual,Air Pollution,Alabama,43.0,14.2,0.61,,,AHR data,
2005,2005 Annual,Air Pollution,Alaska,4.0,6.3,-2.0,,,AHR data,
2005,2005 Annual,Air Pollution,Arizona,14.0,9.3,-1.14,,,AHR data,
2005,2005 Annual,Air Pollution,Arkansas,27.0,11.4,-0.39,,,AHR data,
2005,2005 Annual,Air Pollution,California,50.0,16.3,1.36,,,AHR data,
2005,2005 Annual,Air Pollution,Colorado,11.0,8.2,-1.54,,,AHR data,
2005,2005 Annual,Air Pollution,Connecticut,38.0,13.2,0.25,,,AHR data,
2005,2005 Annual,Air Pollution,Delaware,46.0,14.6,0.75,,,AHR data,
2005,2005 Annual,Air Pollution,Florida,13.0,9.2,-1.18,,,AHR data,
2005,2005 Annual,Air Pollution,Georgia,48.0,14.9,0.86,,,AHR data,
2005,2005 Annual,Air Pollution,Hawaii,1.0,5.2,-2.0,,,AHR data,
2005,2005 Annual,Air Pollution,Idaho,5.0,6.8,-2.0,,,AHR data,
2005,2005 Annual,Air Pollution,Illinois,45.0,14.4,0.68,,,AHR data,
2005,2005 Annual,Air Pollution,Indiana,44.0,14.3,0.64,,,AHR data,
2005,2005 Annual,Air Pollution,Iowa,22.0,10.6,-0.68,,,AHR data,
2005,2005 Annual,Air Pollution,Kansas,23.0,10.7,-0.64,,,AHR data,
2005,2005 Annual,Air Pollution,Kentucky,42.0,13.8,0.46,,,AHR data,
2005,2005 Annual,Air Pollution,Louisiana,26.0,11.2,-0.46,,,AHR data,
2005,2005 Annual,Air Pollution,Maine,20.0,10.4,-0.75,,,AHR data,
2005,2005 Annual,Air Pollution,Maryland,37.0,13.1,0.21,,,AHR data,
2005,2005 Annual,Air Pollution,Massachusetts,24.0,10.8,-0.61,,,AHR data,
2005,2005 Annual,Air Pollution,Michigan,39.0,13.4,0.32,,,AHR data,
2005,2005 Annual,Air Pollution,Minnesota,12.0,9.0,-1.25,,,AHR data,
2005,2005 Annual,Air Pollution,Mississippi,30.0,12.2,-0.11,,,AHR data,
2005,2005 Annual,Air Pollution,Missouri,31.0,12.4,-0.04,,,AHR data,
2005,2005 Annual,Air Pollution,Montana,8.0,7.9,-1.64,,,AHR data,
2005,2005 Annual,Air Pollution,Nebraska,6.0,7.8,-1.68,,,AHR data,
2005,2005 Annual,Air Pollution,Nevada,14.0,9.3,-1.14,,,AHR data,
2005,2005 Annual,Air Pollution,New Hampshire,16.0,9.5,-1.07,,,AHR data,
2005,2005 Annual,Air Pollution,New Jersey,36.0,13.0,0.18,,,AHR data,
2005,2005 Annual,Air Pollution,New Mexico,6.0,7.8,-1.68,,,AHR data,
2005,2005 Annual,Air Pollution,New York,32.0,12.6,0.04,,,AHR data,
2005,2005 Annual,Air Pollution,North Carolina,34.0,12.8,0.11,,,AHR data,
2005,2005 Annual,Air Pollution,North Dakota,3.0,5.6,-2.0,,,AHR data,
2005,2005 Annual,Air Pollution,Ohio,46.0,14.6,0.75,,,AHR data,
2005,2005 Annual,Air Pollution,Oklahoma,19.0,10.1,-0.86,,,AHR data,
2005,2005 Annual,Air Pollution,Oregon,10.0,8.0,-1.61,,,AHR data,
2005,2005 Annual,Air Pollution,Pennsylvania,49.0,15.2,0.96,,,AHR data,
2005,2005 Annual,Air Pollution,Rhode Island,25.0,11.0,-0.54,,,AHR data,
2005,2005 Annual,Air Pollution,South Carolina,33.0,12.7,0.07,,,AHR data,
2005,2005 Annual,Air Pollution,South Dakota,8.0,7.9,-1.64,,,AHR data,
2005,2005 Annual,Air Pollution,Tennessee,40.0,13.5,0.36,,,AHR data,
2005,2005 Annual,Air Pollution,Texas,29.0,11.6,-0.32,,,AHR data,
2005,2005 Annual,Air Pollution,Utah,27.0,11.4,-0.39,,,AHR data,
2005,2005 Annual,Air Pollution,Vermont,18.0,9.6,-1.04,,,AHR data,
2005,2005 Annual,Air Pollution,Virginia,34.0,12.8,0.11,,,AHR data,
2005,2005 Annual,Air Pollution,Washington,16.0,9.5,-1.07,,,AHR data,
2005,2005 Annual,Air Pollution,West Virginia,41.0,13.7,0.43,,,AHR data,
2005,2005 Annual,Air Pollution,Wisconsin,20.0,10.4,-0.75,,,AHR data,
2005,2005 Annual,Air Pollution,Wyoming,1.0,5.2,-2.0,,,AHR data,
2005,2005 Annual,Air Pollution,United States,,12.5,,,,AHR data,
2005,2005 Annual,Air Pollution,District of Columbia,,11.9,,,,AHR data,
2005,2005 Annual,All Determinants,Alaska,41.0,-0.298,,,,AHR data,
2005,2005 Annual,All Determinants,Arizona,34.0,-0.105,,,,AHR data,
2005,2005 Annual,All Determinants,Arkansas,46.0,-0.376,,,,AHR data,
2005,2005 Annual,All Determinants,California,19.0,0.19399999999999998,,,,AHR data,
2005,2005 Annual,All Determinants,Colorado,22.0,0.17600000000000002,,,,AHR data,
2005,2005 Annual,All Determinants,Alabama,42.0,-0.306,,,,AHR data,
2005,2005 Annual,All Determinants,Connecticut,3.0,0.536,,,,AHR data,
2005,2005 Annual,All Determinants,Delaware,31.0,-0.03,,,,AHR data,
2005,2005 Annual,All Determinants,Florida,39.0,-0.24,,,,AHR data,
2005,2005 Annual,All Determinants,Georgia,37.0,-0.192,,,,AHR data,
2005,2005 Annual,All Determinants,Hawaii,9.0,0.414,,,,AHR data,
2005,2005 Annual,All Determinants,Idaho,12.0,0.35100000000000003,,,,AHR data,
2005,2005 Annual,All Determinants,Illinois,26.0,0.06,,,,AHR data,
2005,2005 Annual,All Determinants,Indiana,32.0,-0.066,,,,AHR data,
2005,2005 Annual,All Determinants,Iowa,7.0,0.45899999999999996,,,,AHR data,
2005,2005 Annual,All Determinants,Kansas,17.0,0.223,,,,AHR data,
2005,2005 Annual,All Determinants,Kentucky,40.0,-0.27699999999999997,,,,AHR data,
2005,2005 Annual,All Determinants,Louisiana,47.0,-0.40700000000000003,,,,AHR data,
2005,2005 Annual,All Determinants,Maine,8.0,0.449,,,,AHR data,
2005,2005 Annual,All Determinants,Maryland,29.0,0.022000000000000002,,,,AHR data,
2005,2005 Annual,All Determinants,Massachusetts,4.0,0.534,,,,AHR data,
2005,2005 Annual,All Determinants,Michigan,25.0,0.08,,,,AHR data,
2005,2005 Annual,All Determinants,Minnesota,2.0,0.5379999999999999,,,,AHR data,
2005,2005 Annual,All Determinants,Mississippi,48.0,-0.415,,,,AHR data,
2005,2005 Annual,All Determinants,Missouri,30.0,-0.016,,,,AHR data,
2005,2005 Annual,All Determinants,Montana,24.0,0.12300000000000001,,,,AHR data,
2005,2005 Annual,All Determinants,Nebraska,13.0,0.33799999999999997,,,,AHR data,
2005,2005 Annual,All Determinants,Nevada,38.0,-0.20199999999999999,,,,AHR data,
2005,2005 Annual,All Determinants,New Hampshire,5.0,0.504,,,,AHR data,
2005,2005 Annual,All Determinants,New Jersey,14.0,0.31,,,,AHR data,
2005,2005 Annual,All Determinants,New Mexico,45.0,-0.366,,,,AHR data,
2005,2005 Annual,All Determinants,New York,33.0,-0.079,,,,AHR data,
2005,2005 Annual,All Determinants,North Carolina,35.0,-0.11900000000000001,,,,AHR data,
2005,2005 Annual,All Determinants,North Dakota,11.0,0.379,,,,AHR data,
2005,2005 Annual,All Determinants,Ohio,28.0,0.055999999999999994,,,,AHR data,
2005,2005 Annual,All Determinants,Oklahoma,43.0,-0.313,,,,AHR data,
2005,2005 Annual,All Determinants,Oregon,20.0,0.18600000000000003,,,,AHR data,
2005,2005 Annual,All Determinants,Pennsylvania,27.0,0.057999999999999996,,,,AHR data,
2005,2005 Annual,All Determinants,Rhode Island,10.0,0.397,,,,AHR data,
2005,2005 Annual,All Determinants,South Carolina,50.0,-0.46299999999999997,,,,AHR data,
2005,2005 Annual,All Determinants,South Dakota,23.0,0.161,,,,AHR data,
2005,2005 Annual,All Determinants,Tennessee,49.0,-0.41600000000000004,,,,AHR data,
2005,2005 Annual,All Determinants,Texas,44.0,-0.336,,,,AHR data,
2005,2005 Annual,All Determinants,United States,,,,,,AHR data,
2005,2005 Annual,All Determinants,Utah,6.0,0.501,,,,AHR data,
2005,2005 Annual,All Determinants,Vermont,1.0,0.6859999999999999,,,,AHR data,
2005,2005 Annual,All Determinants,Virginia,16.0,0.23199999999999998,,,,AHR data,
2005,2005 Annual,All Determinants,Washington,18.0,0.209,,,,AHR data,
2005,2005 Annual,All Determinants,West Virginia,36.0,-0.17800000000000002,,,,AHR data,
2005,2005 Annual,All Determinants,Wisconsin,15.0,0.289,,,,AHR data,
2005,2005 Annual,All Determinants,Wyoming,21.0,0.182,,,,AHR data,
2005,2005 Annual,All Outcomes,Alaska,19.0,0.21899999999999997,,,,AHR data,
2005,2005 Annual,All Outcomes,Arizona,17.0,0.25,,,,AHR data,
2005,2005 Annual,All Outcomes,Arkansas,43.0,-0.5329999999999999,,,,AHR data,
2005,2005 Annual,All Outcomes,California,14.0,0.273,,,,AHR data,
2005,2005 Annual,All Outcomes,Colorado,5.0,0.41700000000000004,,,,AHR data,
2005,2005 Annual,All Outcomes,Connecticut,6.0,0.41200000000000003,,,,AHR data,
2005,2005 Annual,All Outcomes,Delaware,33.0,-0.10800000000000001,,,,AHR data,
2005,2005 Annual,All Outcomes,Florida,26.0,0.12300000000000001,,,,AHR data,
2005,2005 Annual,All Outcomes,Georgia,41.0,-0.317,,,,AHR data,
2005,2005 Annual,All Outcomes,Hawaii,1.0,0.621,,,,AHR data,
2005,2005 Annual,All Outcomes,Idaho,15.0,0.267,,,,AHR data,
2005,2005 Annual,All Outcomes,Illinois,31.0,-0.061,,,,AHR data,
2005,2005 Annual,All Outcomes,Indiana,40.0,-0.285,,,,AHR data,
2005,2005 Annual,All Outcomes,Iowa,11.0,0.315,,,,AHR data,
2005,2005 Annual,All Outcomes,Kansas,28.0,0.062,,,,AHR data,
2005,2005 Annual,All Outcomes,Kentucky,44.0,-0.537,,,,AHR data,
2005,2005 Annual,All Outcomes,Louisiana,48.0,-0.573,,,,AHR data,
2005,2005 Annual,All Outcomes,Maine,21.0,0.196,,,,AHR data,
2005,2005 Annual,All Outcomes,Maryland,34.0,-0.121,,,,AHR data,
2005,2005 Annual,All Outcomes,Alabama,45.0,-0.546,,,,AHR data,
2005,2005 Annual,All Outcomes,Massachusetts,9.0,0.35100000000000003,,,,AHR data,
2005,2005 Annual,All Outcomes,Michigan,35.0,-0.18100000000000002,,,,AHR data,
2005,2005 Annual,All Outcomes,Minnesota,2.0,0.541,,,,AHR data,
2005,2005 Annual,All Outcomes,Mississippi,50.0,-0.7020000000000001,,,,AHR data,
2005,2005 Annual,All Outcomes,Missouri,39.0,-0.281,,,,AHR data,
2005,2005 Annual,All Outcomes,Montana,23.0,0.16399999999999998,,,,AHR data,
2005,2005 Annual,All Outcomes,Nebraska,16.0,0.259,,,,AHR data,
2005,2005 Annual,All Outcomes,Nevada,36.0,-0.193,,,,AHR data,
2005,2005 Annual,All Outcomes,New Hampshire,7.0,0.385,,,,AHR data,
2005,2005 Annual,All Outcomes,New Jersey,25.0,0.142,,,,AHR data,
